# iterations, procs, problem size, flop rate, walltime
1000000,18,1000,79154.14,25.27
1000000,36,1000,59069.72,33.86
1000000,54,1000,43425.84,46.06
1000000,72,1000,32512.41,61.51
100000,18,4000,24318.66,131.59
100000,36,4000,73403.84,43.59
100000,54,4000,135684.82,23.58
100000,72,4000,183956.81,17.40
10000,18,10000,19873.34,100.64
10000,36,10000,41364.52,48.35
10000,54,10000,66411.81,30.12
10000,72,10000,89281.03,22.40
5000,18,20000,20117.32,198.83
5000,36,20000,38993.12,102.58
5000,54,20000,59690.53,67.01
5000,72,20000,80831.11,49.49
