# iterations, procs, problem size, flop rate, walltime
1000000,72,1000,22401.61,89.28
1000000,144,1000,8872.30,225.42
1000000,216,1000,5712.94,350.08
1000000,288,1000,5046.95,396.28
100000,72,4000,163232.89,19.60
100000,144,4000,89180.58,35.88
100000,216,4000,52235.15,61.26
100000,288,4000,55929.56,57.21
10000,72,10000,88829.94,22.51
10000,144,10000,119107.36,16.79
10000,216,10000,113251.14,17.66
10000,288,10000,237724.84,8.41
5000,72,20000,80725.67,49.55
5000,144,20000,152871.03,26.17
5000,216,20000,156351.16,25.58
5000,288,20000,264244.41,15.14
