# iterations, procs, problem size, flop rate, walltime
1000000,72,1000,30825.27,64.88
1000000,144,1000,12866.23,155.45
1000000,216,1000,9051.80,220.95
1000000,288,1000,7077.10,282.60
100000,72,4000,185978.45,17.21
100000,144,4000,162166.73,19.73
100000,216,4000,117350.42,27.27
100000,288,4000,90462.11,35.37
10000,72,10000,87249.24,22.92
10000,144,10000,155266.60,12.88
10000,216,10000,205847.33,9.72
10000,288,10000,313251.28,6.38
5000,72,20000,79815.28,50.12
5000,144,20000,141025.42,28.36
5000,216,20000,180831.75,22.12
5000,288,20000,172206.83,23.23
