# iterations, procs, problem size, flop rate, walltime
1000000,1,1000,6526.40,306.45
1000000,2,1000,11602.31,172.38
1000000,3,1000,15711.46,127.30
1000000,4,1000,20459.81,97.75
1000000,5,1000,31799.50,62.89
1000000,6,1000,36427.25,54.90
1000000,7,1000,37201.28,53.76
1000000,8,1000,41126.52,48.63
1000000,9,1000,46588.93,42.93
1000000,10,1000,51046.92,39.18
1000000,11,1000,47572.88,42.04
1000000,12,1000,51689.28,38.69
1000000,13,1000,46815.52,42.72
1000000,14,1000,54414.60,36.75
1000000,15,1000,47015.15,42.54
1000000,16,1000,45988.41,43.49
1000000,17,1000,43333.90,46.15
1000000,18,1000,55347.79,36.14
100000,1,4000,3848.81,831.43
100000,2,4000,7570.70,422.68
100000,3,4000,11388.76,280.98
100000,4,4000,14139.89,226.31
100000,5,4000,15703.71,203.77
100000,6,4000,16615.28,192.59
100000,7,4000,17223.10,185.80
100000,8,4000,17474.06,183.13
100000,9,4000,18018.58,177.59
100000,10,4000,19183.42,166.81
100000,11,4000,19129.22,167.28
100000,12,4000,19699.16,162.44
100000,13,4000,20863.60,153.38
100000,14,4000,22076.88,144.95
100000,15,4000,22829.26,140.17
100000,16,4000,23593.72,135.63
100000,17,4000,24048.95,133.06
100000,18,4000,24606.26,130.05
10000,1,10000,3716.81,538.10
10000,2,10000,7274.08,274.95
10000,3,10000,11208.23,178.44
10000,4,10000,13693.78,146.05
10000,5,10000,15192.18,131.65
10000,6,10000,16291.73,122.76
10000,7,10000,16788.29,119.13
10000,8,10000,16696.03,119.79
10000,9,10000,17286.38,115.70
10000,10,10000,17779.18,112.49
10000,11,10000,17631.70,113.43
10000,12,10000,18239.62,109.65
10000,13,10000,19004.87,105.24
10000,14,10000,19579.97,102.15
10000,15,10000,19795.19,101.03
10000,16,10000,19852.73,100.74
10000,17,10000,20044.71,99.78
10000,18,10000,19860.40,100.70
5000,1,20000,3565.34,1121.91
5000,2,20000,7423.89,538.80
5000,3,20000,11417.69,350.33
5000,4,20000,13904.80,287.67
5000,5,20000,15486.04,258.30
5000,6,20000,16731.62,239.07
5000,7,20000,17188.13,232.72
5000,8,20000,17267.43,231.65
5000,9,20000,17777.78,225.00
5000,10,20000,18072.40,221.33
5000,11,20000,17912.88,223.30
5000,12,20000,18595.48,215.11
5000,13,20000,19379.50,206.40
5000,14,20000,20050.55,199.50
5000,15,20000,20344.45,196.61
5000,16,20000,20363.72,196.43
5000,17,20000,20329.37,196.76
5000,18,20000,20210.94,197.91
