# iterations, procs, problem size, flop rate, walltime
1000000,18,1000,55495.47,36.04
1000000,36,1000,40110.49,49.86
1000000,54,1000,28005.97,71.41
1000000,72,1000,22370.75,89.40
100000,18,4000,24201.32,132.22
100000,36,4000,70637.23,45.30
100000,54,4000,133688.32,23.94
100000,72,4000,179050.13,17.87
10000,18,10000,19599.05,102.05
10000,36,10000,41226.47,48.51
10000,54,10000,66220.64,30.20
10000,72,10000,87069.73,22.97
5000,18,20000,20141.76,198.59
5000,36,20000,38896.51,102.84
5000,54,20000,59396.27,67.34
5000,72,20000,79985.96,50.01
