# iterations, procs, problem size, flop rate, walltime
1000000,1,1000,6540.39,305.79
1000000,2,1000,11615.80,172.18
1000000,3,1000,16163.63,123.73
1000000,4,1000,21305.14,93.87
1000000,5,1000,34842.97,57.40
1000000,6,1000,39136.36,51.10
1000000,7,1000,42624.95,46.92
1000000,8,1000,46039.44,43.44
1000000,9,1000,51508.42,38.83
1000000,10,1000,68130.97,29.36
1000000,11,1000,55644.09,35.94
1000000,12,1000,60000.03,33.33
1000000,13,1000,56689.37,35.28
1000000,14,1000,73965.44,27.04
1000000,15,1000,61311.64,32.62
1000000,16,1000,53226.38,37.58
1000000,17,1000,49932.94,40.05
1000000,18,1000,79066.31,25.30
100000,1,4000,3863.24,828.32
100000,2,4000,7548.71,423.91
100000,3,4000,11368.45,281.48
100000,4,4000,14273.56,224.19
100000,5,4000,15872.51,201.61
100000,6,4000,16591.60,192.87
100000,7,4000,17264.89,185.35
100000,8,4000,17412.28,183.78
100000,9,4000,18070.20,177.09
100000,10,4000,19137.84,167.21
100000,11,4000,19166.96,166.95
100000,12,4000,19663.72,162.74
100000,13,4000,20841.29,153.54
100000,14,4000,22035.11,145.22
100000,15,4000,22890.52,139.80
100000,16,4000,23638.44,135.37
100000,17,4000,23696.01,135.04
100000,18,4000,24508.46,130.57
10000,1,10000,3729.09,536.32
10000,2,10000,7291.32,274.30
10000,3,10000,11213.95,178.35
10000,4,10000,13655.11,146.47
10000,5,10000,15142.45,132.08
10000,6,10000,16156.81,123.79
10000,7,10000,16725.01,119.58
10000,8,10000,16647.69,120.14
10000,9,10000,17220.85,116.14
10000,10,10000,17640.79,113.37
10000,11,10000,17523.66,114.13
10000,12,10000,18182.08,110.00
10000,13,10000,18922.60,105.69
10000,14,10000,19511.01,102.51
10000,15,10000,19755.15,101.24
10000,16,10000,19879.67,100.61
10000,17,10000,20045.83,99.77
10000,18,10000,19797.92,101.02
