0.15 0.01 -0.001681 0.000242 0.001698
0.17 0.01 -0.001974 0.000254 0.001990
0.18 0.01 -0.002281 0.000265 0.002296
0.18 0.01 -0.002599 0.000275 0.002613
0.20 0.01 -0.002927 0.000282 0.002941
0.21 0.01 -0.003264 0.000289 0.003277
0.21 0.01 -0.003607 0.000293 0.003619
0.23 0.01 -0.003955 0.000297 0.003966
0.24 0.01 -0.004306 0.000299 0.004317
0.24 0.01 -0.004660 0.000300 0.004670
0.26 0.01 -0.005014 0.000300 0.005023
0.27 0.01 -0.005367 0.000299 0.005375
0.28 0.01 -0.005718 0.000297 0.005726
0.29 0.01 -0.006066 0.000294 0.006073
0.29 0.01 -0.006409 0.000289 0.006416
0.30 0.01 -0.006747 0.000284 0.006753
0.32 0.01 -0.007078 0.000278 0.007084
0.33 0.01 -0.007402 0.000271 0.007407
0.34 0.01 -0.007716 0.000263 0.007720
0.35 0.01 -0.008020 0.000254 0.008024
0.35 0.01 -0.008313 0.000244 0.008317
0.36 0.01 -0.008594 0.000234 0.008597
0.38 0.01 -0.008861 0.000222 0.008864
0.39 0.01 -0.009115 0.000209 0.009117
0.40 0.01 -0.009352 0.000196 0.009354
0.41 0.01 -0.009574 0.000181 0.009575
0.42 0.01 -0.009777 0.000166 0.009779
0.42 0.01 -0.009962 0.000150 0.009964
0.43 0.01 -0.010128 0.000133 0.010129
0.45 0.01 -0.010273 0.000115 0.010274
0.46 0.01 -0.010396 0.000097 0.010397
0.47 0.01 -0.010497 0.000077 0.010498
0.48 0.01 -0.010575 0.000057 0.010575
0.48 0.01 -0.010629 0.000036 0.010629
0.49 0.01 -0.010658 0.000015 0.010658
0.51 0.01 -0.010662 -0.000007 0.010662
0.52 0.01 -0.010640 -0.000029 0.010640
0.53 0.01 -0.010592 -0.000051 0.010593
0.54 0.01 -0.010518 -0.000074 0.010518
0.55 0.01 -0.010417 -0.000096 0.010418
0.56 0.01 -0.010290 -0.000119 0.010291
0.57 0.01 -0.010136 -0.000142 0.010137
0.58 0.01 -0.009956 -0.000164 0.009958
0.58 0.01 -0.009751 -0.000185 0.009753
0.59 0.01 -0.009521 -0.000206 0.009523
0.60 0.01 -0.009267 -0.000227 0.009269
0.61 0.01 -0.008989 -0.000246 0.008993
0.62 0.01 -0.008690 -0.000264 0.008694
0.64 0.01 -0.008370 -0.000281 0.008375
0.65 0.01 -0.008031 -0.000297 0.008037
0.66 0.01 -0.007675 -0.000311 0.007681
0.67 0.01 -0.007303 -0.000324 0.007310
0.68 0.01 -0.006918 -0.000334 0.006926
0.69 0.01 -0.006521 -0.000343 0.006530
0.70 0.01 -0.006115 -0.000350 0.006125
0.70 0.01 -0.005703 -0.000354 0.005714
0.71 0.01 -0.005287 -0.000357 0.005299
0.72 0.01 -0.004868 -0.000357 0.004882
0.73 0.01 -0.004451 -0.000355 0.004465
